ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng
A-1,MapQuest,201,3,2016/2/8 05:46,2016/2/8 11:00,39.865147,-84.058723
A-2,MapQuest,201,2,2016/2/8 06:07,2016/2/8 06:37,39.928059,-82.831184
A-3,MapQuest,201,2,2016/2/8 06:49,2016/2/8 07:19,39.063148,-84.032608
A-4,MapQuest,201,3,2016/2/8 07:23,2016/2/8 07:53,39.747753,-84.205582
